Ref,Val,Package,PosX,PosY,Rot,Side
"R40","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-99.211297,180.000000,bottom
"R41","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-100.811297,180.000000,bottom
"R42","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-102.411297,180.000000,bottom
"R43","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-104.011297,180.000000,bottom
"R44","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.900000,-95.711297,-90.000000,bottom
"R45","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.500000,-95.711297,-90.000000,bottom
"R46","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.100000,-95.711297,-90.000000,bottom
"R47","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.700000,-95.711297,-90.000000,bottom
"R48","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.300000,-95.711297,-90.000000,bottom
"R49","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.900000,-95.711297,-90.000000,bottom
"R50","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.500000,-95.698797,-90.000000,bottom
"R51","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.100000,-95.698797,-90.000000,bottom
"R52","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.700000,-95.698797,-90.000000,bottom
"R53","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-69.211297,180.000000,bottom
"R54","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-70.811297,180.000000,bottom
"R55","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-72.411297,180.000000,bottom
"R56","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-74.011297,180.000000,bottom
"R57","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-75.611297,180.000000,bottom
"R58","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-77.211297,180.000000,bottom
"R59","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-78.811297,180.000000,bottom
"R60","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-80.411297,180.000000,bottom
"R61","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.600000,-82.011297,180.000000,bottom
"R62","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.800000,-73.811297,-90.000000,bottom
"R63","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.400000,-73.811297,-90.000000,bottom
"R64","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.000000,-73.811297,-90.000000,bottom
"R65","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.600000,-73.811297,-90.000000,bottom
"R66","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.200000,-73.811297,-90.000000,bottom
"R67","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.800000,-73.811297,-90.000000,bottom
"R68","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.400001,-73.798797,-90.000000,bottom
"R69","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.000000,-73.798797,-90.000000,bottom
"R70","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.600000,-73.811297,-90.000000,bottom
"R71","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.600001,-57.942702,180.000000,bottom
"R72","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.400001,-58.042702,-90.000000,bottom
"R73","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",152.000001,-58.342702,-90.000000,bottom
"R74","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.600001,-58.342702,-90.000000,bottom
"R75","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",155.200001,-58.342702,-90.000000,bottom
"R76","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",156.800001,-58.342702,-90.000000,bottom
"R77","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",158.400001,-58.342702,-90.000000,bottom
"R78","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",160.000001,-59.442702,-90.000000,bottom
"R79","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",161.600001,-59.442702,-90.000000,bottom
"R80","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",120.000001,-58.355202,-90.000000,bottom
"R81","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.600001,-58.342702,-90.000000,bottom
"R82","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.200001,-58.342702,-90.000000,bottom
"R83","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.800001,-58.355202,-90.000000,bottom
"R84","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",126.400001,-58.342702,-90.000000,bottom
"R85","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",128.000001,-58.342702,-90.000000,bottom
"R86","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.600001,-58.342702,-90.000000,bottom
"R87","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.200001,-58.342702,-90.000000,bottom
"R88","100R_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.900001,-58.342703,-90.000000,bottom
"SW1","SW_Push","Button-TSA008A187",216.900000,-54.800000,90.000000,bottom
"SW5","SS-12D10L5","SS12D10L5",223.575000,-54.700000,0.000000,bottom
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",201.260000,-29.800000,180.000000,bottom
"U2","ICM-20602","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",227.700000,-92.700000,0.000000,bottom
"U3","AMS1117","SOT-223-3_TabPin2",248.400000,-68.400000,0.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",242.000000,-61.400000,-90.000000,bottom
"U5","AMS1117","SOT-223-3_TabPin2",233.100000,-68.400000,0.000000,bottom
"U6","PLP5860RKPR","QFN40P500X500X100-41N-D",149.500000,-123.711297,180.000000,bottom
"U7","PLP5860RKPR","QFN40P500X500X100-41N-D",149.194796,-99.870916,180.000000,bottom
"U8","PLP5860RKPR","QFN40P500X500X100-41N-D",149.194796,-77.411297,180.000000,bottom
"U9","PLP5860RKPR","QFN40P500X500X100-41N-D",140.350000,-59.611297,180.000000,bottom
"C31","1nF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",143.000000,-54.300000,0.000000,top
"D3","LED_RBAG","NHB2020RGBAHF",169.074985,-128.050903,90.000000,top
"D4","LED_RBAG","NHB2020RGBAHF",169.074985,-124.050904,90.000000,top
"D5","LED_RBAG","NHB2020RGBAHF",169.074985,-120.050904,90.000000,top
"D6","LED_RBAG","NHB2020RGBAHF",169.074985,-116.050905,90.000000,top
"D7","LED_RBAG","NHB2020RGBAHF",169.074985,-112.050905,90.000000,top
"D8","LED_RBAG","NHB2020RGBAHF",169.074985,-108.050904,90.000000,top
"D9","LED_RBAG","NHB2020RGBAHF",173.074984,-128.050903,90.000000,top
"D10","LED_RBAG","NHB2020RGBAHF",173.074984,-124.050904,90.000000,top
"D11","LED_RBAG","NHB2020RGBAHF",173.074983,-120.050904,90.000000,top
"D12","LED_RBAG","NHB2020RGBAHF",173.074984,-116.050905,90.000000,top
"D13","LED_RBAG","NHB2020RGBAHF",173.074987,-112.050905,90.000000,top
"D14","LED_RBAG","NHB2020RGBAHF",173.074986,-108.050906,90.000000,top
"D15","LED_RBAG","NHB2020RGBAHF",177.074986,-128.050905,90.000000,top
"D16","LED_RBAG","NHB2020RGBAHF",177.074984,-124.050904,90.000000,top
"D17","LED_RBAG","NHB2020RGBAHF",177.074984,-120.050904,90.000000,top
"D18","LED_RBAG","NHB2020RGBAHF",177.074985,-116.050905,90.000000,top
"D19","LED_RBAG","NHB2020RGBAHF",177.074985,-112.050905,90.000000,top
"D20","LED_RBAG","NHB2020RGBAHF",177.074986,-108.050904,90.000000,top
"D21","LED_RBAG","NHB2020RGBAHF",181.074987,-128.050905,90.000000,top
"D22","LED_RBAG","NHB2020RGBAHF",181.074986,-124.050906,90.000000,top
"D23","LED_RBAG","NHB2020RGBAHF",181.074986,-120.050904,90.000000,top
"D24","LED_RBAG","NHB2020RGBAHF",181.074986,-116.050905,90.000000,top
"D25","LED_RBAG","NHB2020RGBAHF",181.074986,-112.050903,90.000000,top
"D26","LED_RBAG","NHB2020RGBAHF",181.074986,-108.050904,90.000000,top
"D27","LED_RBAG","NHB2020RGBAHF",185.074985,-128.050905,90.000000,top
"D28","LED_RBAG","NHB2020RGBAHF",185.074985,-124.050904,90.000000,top
"D29","LED_RBAG","NHB2020RGBAHF",185.074985,-120.050904,90.000000,top
"D30","LED_RBAG","NHB2020RGBAHF",185.074985,-116.050902,90.000000,top
